WellID,X,Y
W079,-122.8810444,39.01871279
W81.5,-122.865196,39.0144441
W84.5,-122.8478807,39.02027648
W086,-122.8304862,39.01047417
W087,-122.8223378,39.00740128
W092,-122.8416835,38.9969626
W093,-122.8413458,38.9971862
W050,-122.8731983,38.97773064
W051,-122.8665815,38.98754521
W055,-122.8665834,38.99843157
W075,-122.8801862,38.98681828
W037,-122.8946593,38.99462703
